RNASeq_sample_ID,six_gene_panel,mhcii_cd74_axis,hla_dr_core,myeloid_inflammatory,immunometabolic_stress,adaptive_t_cell_context,base_participant_timepoint_id,rna_decoupling_index_six_minus_mhcii,rna_decoupling_index_myeloid_minus_mhcii
S00109-Ja003T-TRGa,0.2875082145480928,0.6631634235776743,1.0362268005105817,0.0016249701202717,0.3152966949762636,0.3186530310028588,S00109-Ja003,-0.3756552090295815,-0.6615384534574026
S00006-Ja005T-TRGa,-0.8995755426864477,0.6039692452194151,0.3767775547337273,-0.5606487815007299,-1.0149332527480663,0.2218674660907487,S00006-Ja005,-1.5035447879058628,-1.1646180267201451
S00112-Ja003T-TRGa,-0.7627616189858858,1.120393362348872,1.1588774737474694,-0.8239789285147009,-0.8471649082692857,0.2684279237363912,S00112-Ja003,-1.8831549813347577,-1.9443722908635728
S00113-Ja005T-TRGa,-1.0428284442414524,0.7874473423070426,0.5046396017286933,-0.6050942632735619,-0.772233415146786,0.8082772282812329,S00113-Ja005,-1.830275786548495,-1.3925416055806044
S00114-Ja003T-TRGa,-0.9724466940871684,0.952467635219304,1.005975386007288,-1.1211178159124549,-1.133445118261595,0.9887438723198108,S00114-Ja003,-1.9249143293064723,-2.073585451131759
S00119-Ja003T-TRGa,0.3181343939808965,-0.2911081259747792,-0.2249644098847647,0.2948258085146563,0.1956992880441442,-0.103361692439418,S00119-Ja003,0.6092425199556757,0.5859339344894355
S00124-Ja003T-TRGa,0.1645807944230641,-0.0358475219244959,0.302728591540647,0.5508503932170691,0.0213455816926519,0.084926134303151,S00124-Ja003,0.2004283163475601,0.5866979151415651
S00126-Ja003T-TRGa,-0.568648296961893,0.6602488995459498,0.7205211496387421,-0.4277147072170889,-0.3923387808586917,0.6344013985022461,S00126-Ja003,-1.2288971965078428,-1.0879636067630387
S00124-Ja005T-TRGa,-0.378308185394218,-0.2155481246264834,-0.0185738449138136,0.2418530102922234,-0.0445127183867651,0.53364695309724,S00124-Ja005,-0.1627600607677345,0.4574011349187069
S00129-Ja001T-TRGa,0.0275548206344996,1.0500476455797552,1.264935559283199,0.6631887875281965,-0.1239010468313035,0.6921335513944372,S00129-Ja001,-1.0224928249452554,-0.3868588580515586
S00129-Ja005T-TRGa,0.0921532052188048,0.5020580493801176,0.6572973775473092,0.5818607144240533,-0.3490466775364815,0.0332683294892463,S00129-Ja005,-0.4099048441613127,0.0798026650439357
S00134-Ja003T-TRGa,0.3033362967800233,0.3110799700830854,0.6020370204543333,0.0406666589832801,-0.2767640537912821,-0.2115062079535878,S00134-Ja003,-0.0077436733030621,-0.2704133110998052
S00142-Ja005T-TRGa,-0.9846228000064268,0.2850536860543917,0.2115216766149309,-0.6820668141733747,-0.7979226323482821,0.3095295731813114,S00142-Ja005,-1.2696764860608185,-0.9671205002277664
S00148-Ja003T-TRGa,-0.3775751839439987,0.1993784989547882,0.2560216132963825,-0.2813504825958643,-0.4761641790936009,0.1311571423129984,S00148-Ja003,-0.576953682898787,-0.4807289815506526
N00012-Ja003T-TRGa,1.4233569065133287,-1.9869466298722531,-2.3495621217933684,-0.1742725354585552,0.8465193290840088,-1.6758383315726186,N00012-Ja003,3.410303536385582,1.812674094413698
N00040-Ja001T-TRGa,1.2283543837710589,-1.081241862601228,-0.717681372362529,0.9534344187022168,2.494328329904026,-1.3596327650135562,N00040-Ja001,2.309596246372287,2.0346762813034447
S00052-Ja003T-TRGa,-0.1301389136574504,-0.0554852692385983,-0.0824060664119431,-0.3797424228945963,-0.4530661634771203,-0.3787123382766509,S00052-Ja003,-0.0746536444188521,-0.324257153655998
S00052-Ja005T-TRGa,0.1914287635984072,0.2305820284267351,0.1142692044160036,-0.1002530039106936,-0.4245775397323029,-0.0887293397999809,S00052-Ja005,-0.0391532648283279,-0.3308350323374287
S00053-Ja003T-TRGa,-0.1932704662135188,0.98937080001322,0.9713908066171724,-0.2153677702683291,-0.5267037320577315,0.6474765791176226,S00053-Ja003,-1.182641266226739,-1.2047385702815492
S00054-Ja001T-TRGa,0.3311950846676862,-0.2189424460863549,-0.2397708912757833,0.4424399771110375,0.2372735718041498,-0.2125959366850134,S00054-Ja001,0.5501375307540413,0.6613824231973925
S00056-Ja003T-TRGa,-0.1701624305092097,0.4934351054409784,0.4666615691159113,0.5608152972316153,0.1593834142914052,0.0702186229560844,S00056-Ja003,-0.6635975359501882,0.0673801917906368
S00056-Ja005T-TRGa,0.0338006774817809,0.0534132986326535,0.0152825959037385,0.0565077543283095,-0.0947839549468927,-0.4778492076311726,S00056-Ja005,-0.0196126211508725,0.003094455695656
S00057-Ja003T-TRGa,-0.2637631694820929,-0.1874226805606872,-0.266617496887105,-0.2545926154614663,-0.1270723940959494,0.3801108171336549,S00057-Ja003,-0.0763404889214056,-0.067169934900779
S00058-Ja003T-TRGa,-1.082585561935788,1.0709627686411864,1.2011436133145164,-0.49588421624152,-0.850677333892658,1.1348743736184188,S00058-Ja003,-2.1535483305769745,-1.5668469848827065
S00059-Ja001T-TRGa,-0.5147056779161092,0.913191871541698,0.7361231579075481,-0.2155311131410976,-0.6353388885513053,0.6726901988856822,S00059-Ja001,-1.427897549457807,-1.1287229846827955
S00060-Ja005T-TRGa,-0.593322508297715,0.0246418226170077,-0.117235386062973,-0.9123723542434736,-0.7744032655340419,0.4019097498138537,S00060-Ja005,-0.6179643309147228,-0.9370141768604814
S00061-Ja003T-TRGa,0.5471313992994479,-0.3138016251893439,0.0239282114131449,0.5056049959145774,0.2130934286363382,0.0741344058190256,S00061-Ja003,0.8609330244887918,0.8194066211039213
S00063-Ja003T-TRGa,-0.5313107593875813,0.3279164317659059,0.0854985198711862,-0.538776987030873,-1.0013386994812854,0.147956690642602,S00063-Ja003,-0.8592271911534872,-0.8666934187967789
S00064-Ja005T-TRGa,-0.300267067486252,0.2047953458165165,0.1825889423329532,-0.4316741529522355,-0.6688069525789102,1.0169198160817166,S00064-Ja005,-0.5050624133027686,-0.636469498768752
