analysis_scope,correlation_method,rna_metric,flow_metric,n,spearman_rho,p_value_asymptotic_normal_approx,analysis_groups,bh_fdr,claim_use
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_hla_dr_pos_fraction,40,-0.2971649652891557,0.063482838656405,Sepsis,0.1401000577244801,exploratory
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd33_pos_fraction,40,-0.3433039040792657,0.0320383201936358,Sepsis,0.0836919384650078,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd11c_pos_fraction,40,-0.1158412285490484,0.4694168263233775,Sepsis,0.5791437599838857,exploratory
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd16_pos_fraction,40,-0.3921028681539197,0.014338012094337,Sepsis,0.051697621072539,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,adaptive_t_cell_context,double_event_cd38_pos_fraction,40,-0.3725251156330667,0.0199962302345245,Sepsis,0.0646779896956216,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_double_fraction,40,-0.2217636022514071,0.1660789943238944,Sepsis,0.2760418025408286,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_abundance_normalized,40,0.4622889305816136,0.0038894233203193,Sepsis,0.019913847400035,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,40,0.1878048780487805,0.2408595379654787,Sepsis,0.3584886146462939,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_hla_dr_pos_fraction,40,0.1777910048738538,0.2668678477475021,Sepsis,0.3838099383334862,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd33_pos_fraction,40,0.3766453531997211,0.0186652725422439,Sepsis,0.0612603816771081,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd11c_pos_fraction,40,0.0763111202798559,0.6336734830197406,Sepsis,0.7209013625351782,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd16_pos_fraction,40,0.3436607922908531,0.0318601391010525,Sepsis,0.0836919384650078,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_six_minus_mhcii,double_event_cd38_pos_fraction,40,0.3479403347021186,0.0297888461928288,Sepsis,0.0798993653857878,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_double_fraction,40,-0.2692307692307693,0.0926958025578125,Sepsis,0.1812089701264182,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_abundance_normalized,40,0.3335834896810507,0.037230425493521,Sepsis,0.0925338730712755,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,cd3_cd14_hmean_enrichment_exclusive,40,0.0596622889305816,0.7094529653326145,Sepsis,0.7794848031122288,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_hla_dr_pos_fraction,40,0.175345202690404,0.2735033009579437,Sepsis,0.3904933029649006,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd33_pos_fraction,40,0.3644955030965043,0.0228296339676606,Sepsis,0.0674477379903325,supporting_if_replicated
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd11c_pos_fraction,40,0.0560246858203663,0.7264332221681062,Sepsis,0.7913485313831286,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd16_pos_fraction,40,0.174907659161318,0.2747021473393505,Sepsis,0.3904933029649006,exploratory
sepsis_only_unadjusted,spearman_rank,rna_decoupling_index_myeloid_minus_mhcii,double_event_cd38_pos_fraction,40,0.3480341697438398,0.0297447588425872,Sepsis,0.0798993653857878,supporting_if_replicated
