accession,gsm_id,immune_state,PC1_immune_decoupling_gradient,PC2,PC3
GSE134347,GSM3942942,MHC-II/adaptive preserved,-0.8634280630130245,2.045457132032787,0.1765126810939486
GSE134347,GSM3942944,MHC-II/adaptive preserved,-3.17085974237612,0.2447689325299614,-0.5853008462279702
GSE134347,GSM3942979,MHC-II/adaptive preserved,-2.0470347302112732,-0.4062236186433351,0.4913100717335018
GSE134347,GSM3942987,MHC-II/adaptive preserved,-4.68417363282967,3.4668639698727737,1.7002758559565805
GSE134347,GSM3942990,MHC-II/adaptive preserved,-0.9859024726223602,1.3205050394911937,-1.2346308850113812
GSE134347,GSM3942993,MHC-II/adaptive preserved,-0.3954379528449347,2.2128726398749663,-1.139092860413883
GSE134347,GSM3942997,MHC-II/adaptive preserved,-1.693078779865861,1.0576995543590648,-1.4069669974195165
GSE134347,GSM3942998,MHC-II/adaptive preserved,-0.7606331464398606,2.046586094620292,-1.873299990362639
GSE65682,GSM1602802,MHC-II/adaptive preserved,-0.2400516375766289,1.4020179405664188,-1.3218484471022718
GSE65682,GSM1602810,MHC-II/adaptive preserved,-2.2132010825905075,0.5368602497821883,-0.2328508994537183
GSE65682,GSM1602820,MHC-II/adaptive preserved,-1.6762540120694276,0.8177607464119301,-0.6395364022798835
GSE65682,GSM1602825,MHC-II/adaptive preserved,-1.4968157887996385,0.2965962514385951,-0.330454987451909
GSE65682,GSM1602832,MHC-II/adaptive preserved,-2.561647866793588,1.116155544847974,-1.1925489486740295
GSE65682,GSM1602836,MHC-II/adaptive preserved,-2.518874028663697,0.6492765002382227,0.8146966624758106
GSE65682,GSM1602837,MHC-II/adaptive preserved,-0.6466633790007994,2.0611795452985673,-0.4937630329383968
GSE65682,GSM1602838,MHC-II/adaptive preserved,-1.2566434884265407,0.7544392485277707,0.0274743488915117
GSE65682,GSM1602840,MHC-II/adaptive preserved,-0.3368703424330382,1.144078523635127,0.8878903347676136
